"TimeString";"Temp_hum_estatico";"Temp_sec_estatico"
"2021-04-21 21:50:23";31,68403;72,36328
"2021-04-21 21:51:23";32,02583;73,4375
"2021-04-21 21:52:23";32,11806;72,85156
"2021-04-21 21:53:23";31,96072;72,50977
"2021-04-21 21:54:23";32,14518;72,75933
"2021-04-21 21:55:23";31,88477;71,94553
"2021-04-21 21:56:23";31,74913;71,56576
"2021-04-21 21:57:23";31,73828;70,66515
"2021-04-21 21:58:23";31,41819;69,69943
"2021-04-21 21:59:23";31,33138;68,75542
"2021-04-21 22:00:22";31,26085;68,15321
"2021-04-21 22:01:22";30,9299;67,4642
"2021-04-21 22:02:22";31,23372;66,71549
"2021-04-21 22:03:22";30,87565;66,05903
"2021-04-21 22:04:22";30,79427;65,59787
"2021-04-21 22:05:22";30,5013;65,44596
"2021-04-21 22:06:22";30,60981;65,78776
"2021-04-21 22:07:22";30,51758;65,22895
"2021-04-21 22:08:22";30,28429;64,13846
"2021-04-21 22:09:22";30,22461;63,51997
"2021-04-21 22:10:22";30,1161;62,8418
"2021-04-21 22:11:22";30,12153;62,38064
"2021-04-21 22:12:22";30,0727;62,028
"2021-04-21 22:13:22";29,81228;61,93034
"2021-04-21 22:14:22";29,84484;61,88694
"2021-04-21 22:15:22";29,83941;61,91406
"2021-04-21 22:16:22";29,69292;61,7296
"2021-04-21 22:17:22";30,0727;61,89236
"2021-04-21 22:18:22";29,77431;61,61024
"2021-04-21 22:19:22";29,75803;61,19792
"2021-04-21 22:20:22";29,6224;60,58485
"2021-04-21 22:21:22";29,30773;59,78733
"2021-04-21 22:22:22";29,38368;59,27734
"2021-04-21 22:23:22";29,17209;58,70226
"2021-04-21 22:24:22";28,83572;57,78537
"2021-04-21 22:25:22";28,852;57,24284
"2021-04-21 22:26:22";28,48307;56,98242
"2021-04-21 22:27:22";28,33659;56,15234
"2021-04-21 22:28:22";28,1467;55,39822
"2021-04-21 22:29:22";27,91884;55,09983
"2021-04-21 22:30:22";28,05447;55,01302
"2021-04-21 22:31:22";27,91884;55,051
"2021-04-21 22:32:22";28,01107;54,44336
"2021-04-21 22:33:22";27,6964;54,12869
"2021-04-21 22:34:22";27,57704;53,68924
"2021-04-21 22:35:22";27,49566;53,34201
"2021-04-21 22:36:22";27,32205;52,95681
"2021-04-21 22:37:22";27,30035;52,50651
"2021-04-21 22:38:22";27,27865;52,26237
"2021-04-21 22:39:22";27,07791;51,79036
"2021-04-21 22:40:22";27,02365;51,55165
"2021-04-21 22:41:22";26,95313;51,57335
"2021-04-21 22:42:22";26,926;51,27496
"2021-04-21 22:43:22";26,86089;51,01454
"2021-04-21 22:44:22";26,95313;51,25868
"2021-04-21 22:45:22";26,8826;51,32921
"2021-04-21 22:46:22";26,80122;50,86263
"2021-04-21 22:47:22";26,70898;50,60221
"2021-04-21 22:48:22";26,80122;50,3635
"2021-04-21 22:49:22";26,52995;49,82096
"2021-04-21 22:50:22";26,43772;49,50629
