"TimeString";"Vol_h_estatico";"Vol_t_estatico"
"2021-04-21 19:37:23";0,7772714;2,050058
"2021-04-21 19:38:23";0,7772714;2,050058
"2021-04-21 19:39:23";0,7772714;2,049335
"2021-04-21 19:40:23";0,7772714;2,048973
"2021-04-21 19:41:23";0,7772714;2,049335
"2021-04-21 19:42:23";0,7772714;2,047888
"2021-04-21 19:43:23";0,7769097;2,047888
"2021-04-21 19:44:23";0,7772714;2,048249
"2021-04-21 19:45:23";0,7772714;2,047888
"2021-04-21 19:46:23";0,7772714;2,047164
"2021-04-21 19:47:23";0,7772714;2,047526
"2021-04-21 19:48:24";0,7772714;2,047526
"2021-04-21 19:49:23";0,7772714;2,047888
"2021-04-21 19:50:23";0,7772714;2,047526
"2021-04-21 19:51:23";0,7769097;2,047888
"2021-04-21 19:52:23";0,7772714;2,047888
"2021-04-21 19:53:23";2,123842;2,114439
"2021-04-21 19:54:23";2,1148;2,128906
"2021-04-21 19:55:23";2,111183;2,137587
"2021-04-21 19:56:23";2,108652;2,141204
"2021-04-21 19:57:23";2,106482;2,143735
"2021-04-21 19:58:23";2,105758;2,146267
"2021-04-21 19:59:23";2,105396;2,148076
"2021-04-21 20:00:23";2,104673;2,148438
"2021-04-21 20:01:23";2,104673;2,149161
"2021-04-21 20:02:23";2,103226;2,149523
"2021-04-21 20:03:23";2,10395;2,149161
"2021-04-21 20:04:23";2,103588;2,149161
"2021-04-21 20:05:23";2,105035;2,149161
"2021-04-21 20:06:23";2,104311;2,148799
"2021-04-21 20:07:23";2,104311;2,148438
"2021-04-21 20:08:23";2,105035;2,147352
"2021-04-21 20:09:23";2,104311;2,146991
"2021-04-21 20:10:23";2,105035;2,146267
"2021-04-21 20:11:23";2,105035;2,145906
"2021-04-21 20:12:23";2,105758;2,144459
"2021-04-21 20:13:23";2,10612;2,143374
"2021-04-21 20:14:23";2,106843;2,143374
"2021-04-21 20:15:23";2,106843;2,14265
"2021-04-21 20:16:23";2,107928;2,14265
"2021-04-21 20:17:23";2,108652;2,140842
"2021-04-21 20:18:23";2,10829;2,14048
"2021-04-21 20:19:23";2,110098;2,140119
"2021-04-21 20:20:23";2,110822;2,139034
"2021-04-21 20:21:23";2,110822;2,137587
"2021-04-21 20:22:23";2,110822;2,137587
"2021-04-21 20:23:23";2,111545;2,136863
"2021-04-21 20:24:23";2,111545;2,135417
"2021-04-21 20:25:23";2,112992;2,134693
"2021-04-21 20:26:23";2,113353;2,134693
"2021-04-21 20:27:23";2,114439;2,13397
"2021-04-21 20:28:23";2,116609;2,132523
"2021-04-21 20:29:23";2,115885;2,1318
"2021-04-21 20:30:23";2,1148;2,1318
"2021-04-21 20:31:23";2,116971;2,131438
"2021-04-21 20:32:23";2,117694;2,131076
"2021-04-21 20:33:23";2,118417;2,12963
"2021-04-21 20:34:23";2,118779;2,128906
"2021-04-21 20:35:23";2,119502;2,128545
"2021-04-21 20:36:23";2,119502;2,128183
"2021-04-21 20:37:23";2,120226;2,127098
"2021-04-21 20:38:23";2,122396;2,126013
"2021-04-21 20:39:23";2,182075;2,113715
"2021-04-21 20:40:23";2,331453;2,112992
"2021-04-21 20:41:23";2,358579;2,120949
"2021-04-21 20:42:23";2,356047;2,152416
"2021-04-21 20:43:23";2,342665;2,195096
"2021-04-21 20:44:23";2,340495;2,202329
"2021-04-21 20:45:23";2,409578;2,229818
"2021-04-21 20:46:23";2,373409;2,258029
"2021-04-21 20:47:23";2,427662;2,275029
"2021-04-21 20:48:23";2,492404;2,282263
"2021-04-21 20:49:23";2,462746;2,282263
"2021-04-21 20:50:23";2,447555;2,279369
"2021-04-21 20:51:23";2,522425;2,290943
"2021-04-21 20:52:23";2,460214;2,293113
"2021-04-21 20:53:23";2,493851;2,296369
"2021-04-21 20:54:23";2,526765;2,294922
"2021-04-21 20:55:23";2,47866;2,302879
"2021-04-21 20:56:23";2,577402;2,305049
"2021-04-21 20:57:23";2,517361;2,309028
"2021-04-21 20:58:23";2,566551;2,310836
"2021-04-21 20:59:23";2,632017;2,305049
"2021-04-21 21:00:23";2,551722;2,302517
"2021-04-21 21:01:23";2,614294;2,304326
"2021-04-21 21:02:23";2,600911;2,302156
"2021-04-21 21:03:23";2,615379;2,306496
"2021-04-21 21:04:23";2,667462;2,305049
"2021-04-21 21:05:23";2,560402;2,309028
